iter	Passed	Remaining
449	1971	219
450	1975	214
451	1980	210
452	1984	205
453	1988	201
454	1992	197
455	1997	192
456	2001	188
457	2006	183
458	2010	179
459	2014	175
460	2018	170
461	2023	166
462	2027	162
463	2031	157
464	2034	153
465	2039	148
466	2042	144
467	2046	139
468	2051	135
469	2055	131
470	2059	126
471	2064	122
472	2068	118
473	2072	113
474	2075	109
475	2080	104
476	2084	100
477	2088	96
478	2092	91
479	2096	87
480	2099	82
481	2104	78
482	2108	74
483	2112	69
484	2117	65
485	2121	61
486	2125	56
487	2128	52
488	2132	47
489	2136	43
490	2140	39
491	2144	34
492	2148	30
493	2152	26
494	2156	21
495	2160	17
496	2164	13
497	2169	8
498	2174	4
499	2177	0
