iter	Logloss
0	0.6531494141
1	0.6193974609
2	0.5942070923
3	0.5658605957
4	0.5425327759
5	0.5251146851
6	0.5075664368
7	0.4933770447
8	0.4816026306
9	0.4711363525
10	0.4611452332
11	0.4528331604
12	0.4443041992
13	0.439280426
14	0.4342837524
15	0.4285228271
16	0.4229724731
17	0.4189312439
18	0.4145264893
19	0.4106197205
20	0.4077988892
21	0.4057971802
22	0.4025796814
23	0.400026123
24	0.3968096924
25	0.3943657227
26	0.3921920166
27	0.3898709717
28	0.3872894897
29	0.3847167664
30	0.3835433655
31	0.3816327515
32	0.3806234741
33	0.3783928528
34	0.3771104736
35	0.3753435669
36	0.3732193909
37	0.371502594
38	0.3704434509
39	0.3695136414
40	0.3685238647
41	0.3673894958
42	0.3657947388
43	0.3640184631
44	0.3633509216
45	0.3626357422
46	0.3610003357
47	0.3602871399
48	0.3600882568
49	0.3592087097
50	0.3583903198
51	0.3567189941
52	0.3561960144
53	0.35530896
54	0.3549291077
55	0.3543352966
56	0.3535938721
57	0.3524223328
58	0.3518289795
59	0.3504533081
60	0.3498856201
61	0.348857605
62	0.3481704712
63	0.347356781
64	0.3469783936
65	0.3461288452
66	0.3452563171
67	0.3434349365
68	0.3430708008
69	0.3422520142
70	0.3418319092
71	0.3416894531
72	0.3413731689
73	0.3407342529
74	0.3399403687
75	0.3396359863
76	0.3389822693
77	0.3385640869
78	0.3384109497
79	0.337537384
80	0.3361344299
81	0.3356011353
82	0.3351161499
83	0.334520874
84	0.3338345947
85	0.3331676025
86	0.3325635376
87	0.3315517578
88	0.3307606812
89	0.3299226074
90	0.3290749817
91	0.3282681885
92	0.3278455505
93	0.3273553772
94	0.3270203857
95	0.3258350525
96	0.3255023193
97	0.3250623779
98	0.3243537598
99	0.3234252014
100	0.3231335449
101	0.3225498047
102	0.3220667114
103	0.321885376
104	0.3216248779
105	0.3206069031
106	0.3201727295
107	0.3198856201
108	0.3196151123
109	0.3194977417
110	0.3189416809
111	0.3177426758
112	0.3168345947
113	0.3157087708
114	0.3154547424
115	0.3151857605
116	0.3144621277
117	0.3138340454
118	0.3134577637
119	0.3128002625
120	0.3126516724
121	0.3123684998
122	0.3117392883
123	0.3110358276
124	0.310237793
125	0.3099657593
126	0.3091342468
127	0.3084127197
128	0.3077841187
129	0.3076200562
130	0.3066424866
131	0.3061699829
132	0.3057202759
133	0.3051546631
134	0.3048607483
135	0.3045763855
136	0.3041670227
137	0.3032318115
138	0.3027937012
139	0.3021787109
140	0.3020377808
141	0.3012957764
142	0.3010415039
143	0.3009126282
144	0.3008669434
145	0.3008529358
146	0.29990448
147	0.2992651367
148	0.2987977905
149	0.2983939819
150	0.2982735596
151	0.2978927917
152	0.2975834045
153	0.2970238953
154	0.2969768677
155	0.296743866
156	0.2962979126
157	0.295825531
158	0.2954459839
159	0.2948355103
160	0.2947192993
161	0.294515564
162	0.2942262878
163	0.2940523376
164	0.2936617737
165	0.2934316406
166	0.2930214233
167	0.2927814941
168	0.2926192932
169	0.292539856
170	0.2918810425
171	0.2910279541
172	0.2904065552
173	0.2896792603
174	0.2889846191
175	0.2882116699
176	0.2878156738
177	0.2874558411
178	0.2871356201
179	0.2871011658
180	0.2865906982
181	0.2862292175
182	0.2860889282
183	0.2856509705
184	0.2852993469
185	0.2850715332
186	0.2845263062
187	0.2839827881
188	0.2837058411
189	0.2834180298
190	0.2828411255
191	0.2826569824
192	0.2817337036
193	0.281218811
194	0.2805682983
195	0.280331543
196	0.279703125
197	0.2793137817
198	0.2783098755
199	0.2780227661
200	0.2775557861
201	0.277340271
202	0.2769067078
203	0.2762723999
