iter	Logloss
204	0.275649353
205	0.2748778381
206	0.2746366577
207	0.2741559753
208	0.2730931702
209	0.2724909668
210	0.2720785522
211	0.2713934326
212	0.271117157
213	0.2709127808
214	0.2703735352
215	0.2701882324
216	0.2697398682
217	0.2694717407
218	0.2689258118
219	0.2682701721
220	0.2677350464
221	0.2676040344
222	0.2674172363
223	0.2667799072
224	0.2664562378
225	0.2662093811
226	0.2657991333
227	0.2653444519
228	0.2649847107
229	0.264458374
230	0.2638273926
231	0.2631797485
232	0.2623921509
233	0.2619523926
234	0.2616791992
235	0.2611912231
236	0.2608835449
237	0.2607747803
238	0.2605222168
239	0.260230011
240	0.2595865479
241	0.2592958374
242	0.2588600769
243	0.2587558594
244	0.2584545593
245	0.258222229
246	0.2579650269
247	0.257701355
248	0.2573919983
249	0.256875061
250	0.2565839844
251	0.2562912598
252	0.2558637085
253	0.2557619019
254	0.2554756622
255	0.2548625641
256	0.2543310242
257	0.2538362579
258	0.2534033203
259	0.2528283997
260	0.2525821075
261	0.2519248657
262	0.2516016541
263	0.2512966919
264	0.25097258
265	0.250690979
266	0.2502828217
267	0.2498299866
268	0.2494469299
269	0.2493563843
270	0.2488334198
271	0.2485929871
272	0.2484345093
273	0.2478403473
274	0.2473020935
275	0.2470681915
276	0.2468283691
277	0.2465925903
278	0.2463471375
279	0.2462528381
280	0.2456731567
281	0.2451014099
282	0.2448840179
283	0.2446505737
284	0.2442286682
285	0.2440420532
286	0.2434025421
287	0.2428795624
288	0.2426542664
289	0.2424270172
290	0.2419622192
291	0.2417572479
292	0.241434906
293	0.2412341461
294	0.2409770203
295	0.2409027863
296	0.2406535492
297	0.2403660889
298	0.2399918518
299	0.2395290833
300	0.2390914612
301	0.2390245056
302	0.2385733948
303	0.2383478699
304	0.2381729736
305	0.2379866943
306	0.237695343
307	0.2375264587
308	0.2371255493
309	0.2369186249
310	0.2368196564
311	0.2365420074
312	0.2360241089
313	0.2357069855
314	0.2352631989
315	0.2348231506
316	0.234430542
317	0.2341426697
318	0.2339155273
319	0.2335830078
320	0.2334343719
321	0.2332971191
322	0.2328444977
323	0.2326491547
324	0.2323393555
325	0.2322588196
326	0.2320066528
327	0.2318171387
328	0.2315162048
329	0.2313179016
330	0.2311590118
331	0.2310011292
332	0.2308404083
333	0.2306387329
334	0.2303850098
335	0.2301522675
336	0.2297779541
337	0.2296378937
338	0.2292362823
339	0.2288632355
340	0.2288149872
341	0.2283411407
342	0.2278533936
343	0.2275111237
344	0.2273872375
345	0.2270252228
346	0.2266700592
347	0.2264483795
348	0.2261187286
349	0.2256721497
350	0.2255292664
351	0.2252134399
352	0.2249205017
353	0.2247927856
354	0.2245474548
355	0.2242572021
356	0.2241288452
357	0.2236864014
358	0.223341629
359	0.223043335
360	0.2226561127
361	0.2224523163
362	0.2221921844
363	0.2219803009
364	0.2216566467
365	0.2214055176
366	0.2210623474
367	0.2208818665
368	0.2206233521
369	0.2202078857
370	0.2199607849
371	0.2198634796
372	0.219593399
373	0.2194352722
374	0.2192125244
375	0.219093689
376	0.2188529816
377	0.2185901794
378	0.2184373016
379	0.2183265381
380	0.2181534729
381	0.2179344788
382	0.2177380981
383	0.2174363251
384	0.2173162842
385	0.2172123871
386	0.2171684875
387	0.2169345398
388	0.2167314606
389	0.216403183
390	0.2162341309
391	0.2159136047
392	0.2156680603
393	0.2153081207
394	0.2151909485
395	0.2148112183
396	0.2147693787
397	0.2144780579
398	0.2141906128
399	0.213975647
400	0.2135929718
401	0.2133625641
402	0.2132089996
403	0.2129452362
404	0.2127471008
405	0.2126022339
406	0.2123164215
407	0.2121651001
408	0.2119967651
409	0.2117553406
410	0.2115635071
411	0.2114421692
412	0.2112523956
413	0.2110357056
414	0.2107965698
415	0.2106444092
416	0.2103949585
417	0.2102164001
418	0.2100044708
419	0.2099386597
420	0.2096614838
421	0.2095507813
422	0.209440979
423	0.209217926
424	0.2091790619
425	0.2091129761
426	0.2089506836
427	0.2088075867
428	0.20853862
429	0.2084448547
430	0.2082979126
431	0.2081123657
432	0.207958725
433	0.2077693024
434	0.2075565491
435	0.2074392395
436	0.2073227234
437	0.2070972595
438	0.206949646
439	0.2068837128
440	0.2066318359
441	0.2065094604
442	0.2063179321
443	0.2061550293
444	0.2059898224
445	0.2059555664
446	0.2058341675
447	0.2056339417
448	0.2055746307
449	0.2054427185
450	0.205203476
451	0.2050583801
452	0.2048652954
453	0.2047708893
454	0.2045560608
455	0.2043904724
456	0.2041669617
457	0.204008316
458	0.2037735443
459	0.2036425476
460	0.2035019073
461	0.203370575
462	0.2030895996
463	0.2028083191
464	0.2027641296
465	0.202635437
466	0.2024604187
467	0.2022720947
468	0.2020632019
469	0.2018826599
470	0.2016542053
471	0.2015481567
472	0.2014489288
473	0.2012934113
474	0.2012259827
475	0.2010869141
476	0.200940155
477	0.200772049
478	0.2005969543
479	0.2003896179
480	0.200181076
481	0.2000835266
482	0.1999212036
483	0.1998637695
484	0.1998248596
485	0.1996813049
486	0.1995253601
487	0.1993916321
488	0.1991482544
489	0.1989457245
490	0.198855011
491	0.1986731567
492	0.1985504761
493	0.1983825073
494	0.1980729828
495	0.197907959
496	0.1977170105
497	0.1975548248
498	0.1973695831
499	0.1972071686
